BUG编号,模块,级别,发现人,处理人,状态,关闭时间,描述
BUG-001,登录认证,P1-Critical,王磊,张工,已关闭,2026-06-26,登录接口未对密码做长度校验，可接受超长密码导致系统异常
BUG-002,登录认证,P2-Major,王磊,李工,已关闭,2026-06-26,Token刷新后旧Token未失效，存在安全风险
BUG-003,用户管理,P2-Major,王磊,孙工,已关闭,2026-06-26,用户列表分页参数边界值未校验，page=0时返回全部数据
BUG-004,租户管理,P1-Critical,王磊,张工,已关闭,2026-06-26,租户A可越权访问租户B的用户数据，多租户隔离失效
BUG-005,角色权限,P1-Critical,王磊,吴工,已关闭,2026-06-26,普通用户可通过直接修改URL访问管理页面
BUG-006,角色权限,P2-Major,王磊,孙工,已修复,2026-06-27,权限拦截器未对DELETE请求做权限校验
BUG-007,文件管理,P3-Minor,陈静,郑工,处理中,,文件上传后文件名显示乱码(i18n编码问题)
BUG-008,国际化,P2-Major,陈静,前端组长,已修复,2026-06-27,阿拉伯语界面RTL布局下表格列错位
BUG-009,国际化,P3-Minor,陈静,前端组长,待处理,,法语翻译中多处术语与业务场景不匹配
BUG-010,CRM客户管理,P2-Major,赵敏,许工,已修复,2026-06-27,客户分配后原销售人员仍可查看该客户详情
BUG-011,ERP采购管理,P1-Critical,赵敏,施工,已关闭,2026-06-27,采购订单金额为负数时未拦截，数据库存储了负数金额
BUG-012,ERP库存管理,P2-Major,赵敏,朱工,处理中,,库存扣减并发操作导致超卖，缺少乐观锁机制
BUG-013,BPM审批流程,P2-Major,刘洋,曹工,处理中,,审批驳回后申请人的修改权限未正确开放
BUG-014,BPM审批流程,P1-Critical,刘洋,曹工,已关闭,2026-06-27,审批流节点跳过逻辑错误，三级审批可被跳过直接完成
BUG-015,支付模块,P1-Critical,刘洋,秦工,已关闭,2026-06-27,支付回调未验证签名，存在伪造回调风险
BUG-016,支付模块,P2-Major,刘洋,秦工,已修复,2026-06-27,支付超时后未正确释放订单锁，导致重复支付
BUG-017,商城模块,P2-Major,孙强,魏工,处理中,,商品详情页在高并发下Redis缓存击穿，查询延迟>3s
BUG-018,商城模块,P3-Minor,孙强,魏工,待处理,,商品搜索拼音首字母匹配不准确
BUG-019,报表中心,P2-Major,孙强,金工,待处理,,大数据量下员工统计报表查询超时(>10s)
BUG-020,报表中心,P3-Minor,孙强,金工,待处理,,报表导出Excel文件打开时提示格式与扩展名不一致
BUG-021,AI模块,P2-Major,陈静,朱工,处理中,,LLM流式输出在Nginx反向代理下中断，缺少超时配置
BUG-022,WMS模块,P2-Major,赵敏,许工,待处理,,仓库拣货路径算法在跨楼层场景下未优化，效率低
BUG-023,MES模块,P1-Critical,刘洋,施工,已修复,2026-06-27,生产工单状态机缺少状态流转校验，允许非法跳转
