需求ID,需求名称,模块,设计文档,代码模块,测试用例,验收结果
REQ-001,用户登录与Token认证,系统管理,04-Solution-Architecture/系统架构设计.md,com.meession.etm.module.system.controller.auth,TC-LOGIN-001~007,待验收
REQ-002,密码加密与安全策略,系统管理,04-Solution-Architecture/安全设计.md,com.meession.etm.module.system.service.auth,TC-LOGIN-008,待验收
REQ-003,RBAC角色权限管理,系统管理,04-Solution-Architecture/权限设计.md,com.meession.etm.module.system.controller.role,TC-ROLE-001~005,待验收
REQ-004,菜单管理与动态路由,系统管理,04-Solution-Architecture/菜单设计.md,com.meession.etm.module.system.controller.menu,TC-MENU-001~003,待验收
REQ-005,部门与岗位管理,系统管理,05-Business-Requirements/组织架构.md,com.meession.etm.module.system.controller.dept,TC-DEPT-001~004,待验收
REQ-006,数据字典管理,系统管理,05-Business-Requirements/数据字典.md,com.meession.etm.module.system.controller.dict,TC-DICT-001~003,待验收
REQ-007,多租户数据隔离,系统管理,04-Solution-Architecture/多租户设计.md,com.meession.etm.module.system.framework.tenant,TC-TENANT-001~006,待验收
REQ-008,租户生命周期管理,系统管理,05-Business-Requirements/租户管理.md,com.meession.etm.module.system.controller.tenant,TC-TENANT-007~010,待验收
REQ-009,文件上传与管理,基础设施,05-Business-Requirements/文件管理.md,com.meession.etm.module.infra.controller.file,TC-FILE-001~004,待验收
REQ-010,代码生成器,基础设施,05-Business-Requirements/代码生成.md,com.meession.etm.module.infra.controller.codegen,TC-GEN-001~003,待验收
REQ-011,API访问日志,基础设施,04-Solution-Architecture/日志设计.md,com.meession.etm.module.infra.controller.log,TC-LOG-001~002,待验收
REQ-012,定时任务调度,基础设施,04-Solution-Architecture/任务调度.md,com.meession.etm.module.infra.job,TC-JOB-001~003,待验收
REQ-013,客户信息管理(CRUD),CRM模块,05-Business-Requirements/CRM客户管理.md,com.meession.etm.module.crm.controller.customer,TC-CRM-001~005,待验收
REQ-014,客户分配与公海规则,CRM模块,05-Business-Requirements/CRM客户管理.md,com.meession.etm.module.crm.service.customer,TC-CRM-006~008,待验收
REQ-015,客户跟进记录,CRM模块,05-Business-Requirements/CRM客户管理.md,com.meession.etm.module.crm.service.followup,TC-CRM-009~010,待验收
REQ-016,商机创建与阶段推进,CRM模块,05-Business-Requirements/CRM商机管理.md,com.meession.etm.module.crm.controller.opportunity,TC-OPP-001~005,待验收
REQ-017,商机转化订单,CRM模块,05-Business-Requirements/CRM商机管理.md,com.meession.etm.module.crm.service.opportunity,TC-OPP-006~008,待验收
REQ-018,采购订单管理,ERP模块,05-Business-Requirements/ERP采购管理.md,com.meession.etm.module.erp.controller.purchase,TC-PUR-001~005,待验收
REQ-019,销售订单管理,ERP模块,05-Business-Requirements/ERP销售管理.md,com.meession.etm.module.erp.controller.sales,TC-SALES-001~005,待验收
REQ-020,库存管理(入库/出库/盘点),ERP模块,05-Business-Requirements/ERP库存管理.md,com.meession.etm.module.erp.controller.inventory,TC-INV-001~006,待验收
REQ-021,财务应收应付管理,ERP模块,05-Business-Requirements/ERP财务管理.md,com.meession.etm.module.erp.controller.finance,TC-FIN-001~005,待验收
REQ-022,审批流引擎(Flowable),BPM模块,04-Solution-Architecture/BPM设计.md,com.meession.etm.module.bpm.service.engine,TC-BPM-001~004,待验收
REQ-023,审批模板配置,审核模块,05-Business-Requirements/BPM审批.md,com.meession.etm.module.bpm.controller.template,TC-BPM-005~007,待验收
REQ-024,多级审批与节点流转,BPM模块,05-Business-Requirements/BPM审批.md,com.meession.etm.module.bpm.service.node,TC-BPM-008~010,待验收
REQ-025,审批驳回与重新提交,BPM模块,05-Business-Requirements/BPM审批.md,com.meession.etm.module.bpm.service.approval,TC-BPM-011~012,待验收
REQ-026,多渠道支付(微信/支付宝),支付模块,04-Solution-Architecture/支付设计.md,com.meession.etm.module.pay.controller.channel,TC-PAY-001~004,待验收
REQ-027,支付回调与订单状态同步,支付模块,04-Solution-Architecture/支付设计.md,com.meession.etm.module.pay.service.callback,TC-PAY-005~007,待验收
REQ-028,退款与对账,支付模块,05-Business-Requirements/支付管理.md,com.meession.etm.module.pay.service.refund,TC-PAY-008~010,待验收
REQ-029,商品SPU/SKU管理,商城模块,05-Business-Requirements/商城商品.md,com.meession.etm.module.mall.controller.product,TC-MALL-001~005,待验收
REQ-030,商城订单与购物车,商城模块,05-Business-Requirements/商城订单.md,com.meession.etm.module.mall.controller.order,TC-MALL-006~010,待验收
REQ-031,营销活动(满减/优惠券/秒杀),商城模块,05-Business-Requirements/商城营销.md,com.meession.etm.module.mall.controller.promotion,TC-MALL-011~015,待验收
REQ-032,会员等级与积分规则,会员模块,05-Business-Requirements/会员管理.md,com.meession.etm.module.member.controller.level,TC-MEMBER-001~004,待验收
REQ-033,会员标签与画像,会员模块,05-Business-Requirements/会员管理.md,com.meession.etm.module.member.controller.tag,TC-MEMBER-005~007,待验收
REQ-034,生产工单管理,MES模块,05-Business-Requirements/MES工单.md,com.meession.etm.module.mes.controller.workorder,TC-MES-001~004,待验收
REQ-035,工序与工艺路线,MES模块,05-Business-Requirements/MES工艺.md,com.meession.etm.module.mes.controller.routing,TC-MES-005~007,待验收
REQ-036,报工与质检,MES模块,05-Business-Requirements/MES质检.md,com.meession.etm.module.mes.controller.quality,TC-MES-008~010,待验收
