任务编号,任务名称,所属模块,负责人,开发人员,计划开始,计划结束,实际开始,实际结束,状态
T001,项目基础框架搭建,基础框架,架构师,张工/李工,2026-06-23,2026-06-25,2026-06-23,2026-06-25,已完成
T002,数据库设计与建表,基础框架,架构师,张工,2026-06-23,2026-06-26,2026-06-23,2026-06-26,已完成
T003,统一响应模型与异常处理,基础框架,后端组长,李工,2026-06-24,2026-06-25,2026-06-24,2026-06-25,已完成
T004,MyBatis-Plus配置与代码生成器,基础框架,后端组长,张工,2026-06-25,2026-06-26,2026-06-25,2026-06-26,已完成
T005,多租户基础框架(TenantBaseDO/拦截器),基础框架,架构师,张工,2026-06-25,2026-06-27,2026-06-25,,进行中
T006,国际化i18n基础设施搭建,基础框架,前端组长,王工,2026-06-24,2026-06-26,2026-06-24,2026-06-26,已完成
T007,登录认证与JWT Token集成,系统管理,系统组组长,李工,2026-06-26,2026-06-27,2026-06-26,2026-06-27,已完成
T008,用户CRUD接口开发,系统管理,系统组组长,孙工,2026-06-26,2026-06-28,2026-06-26,,进行中
T009,角色管理与RBAC权限实现,系统管理,系统组组长,吴工,2026-06-27,2026-06-29,,,待开始
T010,菜单管理与动态路由,系统管理,系统组组长,孙工,2026-06-27,2026-06-29,,,待开始
T011,部门管理接口开发,系统管理,系统组组长,吴工,2026-06-28,2026-06-29,,,待开始
T012,字典管理功能,系统管理,系统组组长,李工,2026-06-28,2026-06-29,,,待开始
T013,租户管理功能(新增/配置/停用),系统管理,系统组组长,张工,2026-06-27,2026-06-29,,,待开始
T014,文件存储与配置管理,基础设施,基础设施组组长,郑工,2026-06-26,2026-06-28,2026-06-26,,进行中
T015,代码生成器功能增强,基础设施,基础设施组组长,冯工,2026-06-27,2026-06-29,,,待开始
T016,API访问日志与错误日志,基础设施,基础设施组组长,郑工,2026-06-28,2026-06-30,,,待开始
T017,定时任务管理,基础设施,基础设施组组长,冯工,2026-06-28,2026-06-29,,,待开始
T018,CRM客户CRUD接口,CRM模块,CRM组长,许工,2026-06-27,2026-06-29,,,待开始
T019,CRM客户分配与公海机制,CRM模块,CRM组长,何工,2026-06-28,2026-06-30,,,待开始
T020,CRM客户跟进记录,CRM模块,CRM组长,许工,2026-06-29,2026-06-30,,,待开始
T021,CRM商机管理接口,CRM模块,CRM组长,何工,2026-06-28,2026-06-30,,,待开始
T022,CRM前端页面,CRM模块,CRM组长,吕工,2026-06-27,2026-06-30,,,待开始
T023,ERP采购管理接口,ERP模块,ERP组长,施工,2026-06-28,2026-06-30,,,待开始
T024,ERP销售管理接口,ERP模块,ERP组长,张工,2026-06-28,2026-06-30,,,待开始
T025,ERP库存管理接口,ERP模块,ERP组长,施工,2026-06-29,2026-07-01,,,待开始
T026,ERP财务管理接口,ERP模块,ERP组长,张工,2026-06-29,2026-07-01,,,待开始
T027,ERP前端页面,ERP模块,ERP组长,孔工,2026-06-28,2026-07-01,,,待开始
T028,BPM审批流引擎(Flowable),BPM模块,BPM组长,曹工,2026-06-27,2026-06-30,,,待开始
T029,BPM审批模板配置,审核模块,BPM组长,严工,2026-06-28,2026-06-30,,,待开始
T030,BPM审批记录与待办接口,BPM模块,BPM组长,曹工,2026-06-29,2026-07-01,,,待开始
T031,BPM前端审批页面,BPM模块,BPM组长,华工,2026-06-27,2026-06-30,,,待开始
T032,支付渠道对接(微信/支付宝),支付模块,支付组长,秦工,2026-06-28,2026-07-01,,,待开始
T033,支付订单管理与回调处理,支付模块,支付组长,朱工,2026-06-28,2026-07-01,,,待开始
T034,退款与对账功能,支付模块,支付组长,秦工,2026-06-29,2026-07-02,,,待开始
T035,商城商品管理接口,商城模块,商城组长,魏工,2026-06-28,2026-06-30,,,待开始
T036,商城订单管理接口,商城模块,商城组长,金工,2026-06-29,2026-07-01,,,待开始
T037,商城营销活动接口,商城模块,商城组长,魏工,2026-06-30,2026-07-02,,,待开始
T038,会员等级与积分接口,会员模块,会员组长,陶工,2026-06-28,2026-06-30,,,待开始
T039,会员标签与画像接口,会员模块,会员组长,姜工,2026-06-29,2026-07-01,,,待开始
T040,会员前端页面,会员模块,会员组长,陶工,2026-06-28,2026-06-30,,,待开始
T041,MES生产工单管理,MES模块,MES组长,戚工,2026-06-29,2026-07-01,,,待开始
T042,MES工序与工艺路线,MES模块,MES组长,谢工,2026-06-29,2026-07-01,,,待开始
T043,MES报工与质检,MES模块,MES组长,戚工,2026-06-30,2026-07-02,,,待开始
T044,WMS仓库基础数据,WMS模块,WMS组长,邹工,2026-06-29,2026-07-01,,,待开始
T045,WMS入库/出库/盘点,WMS模块,WMS组长,邹工,2026-06-30,2026-07-02,,,待开始
T046,WMS拣货与波次管理,WMS模块,WMS组长,苏工,2026-06-30,2026-07-02,,,待开始
T047,报表中心开发,报表模块,报表组长,金工,2026-06-29,2026-07-01,,,待开始
T048,报表导出(Excel/PDF),报表模块,报表组长,魏工,2026-06-30,2026-07-02,,,待开始
T049,AI对话与知识库接口,AI模块,AI组长,朱工,2026-06-28,2026-06-30,,,待开始
T050,AI绘图与写作功能,AI模块,AI组长,秦工,2026-06-29,2026-07-01,,,待开始
T051,AI前端聊天界面,AI模块,AI组长,尤工,2026-06-28,2026-06-30,,,待开始
T052,统一商品管理接口,统一商品,商品组长,许工,2026-06-28,2026-06-30,,,待开始
T053,海外服务商城接口,海外服务,海外服务组长,何工,2026-06-29,2026-07-01,,,待开始
T054,海外服务前端页面,海外服务,海外服务组长,吕工,2026-06-29,2026-07-01,,,待开始
T055,ZATCA电子发票生成,ZATCA模块,ZATCA组长,施工,2026-06-29,2026-07-02,,,待开始
T056,ZATCA发票签名与上报,ZATCA模块,ZATCA组长,张工,2026-06-30,2026-07-02,,,待开始
T057,微信公众号集成,公众号模块,公众号组长,金工,2026-06-28,2026-06-30,,,待开始
T058,Admin Web前端页面开发,Web前端,Web前端组长,蒋工/沈工,2026-06-25,持续,,,进行中
T059,Admin移动端(H5/小程序/App),移动前端,移动前端组长,韩工/杨工,2026-06-25,持续,,,进行中
T060,商城前端(MallFrontend),商城前端,商城前端组长,陈工,2026-06-28,持续,,,待开始
T061,Swagger接口文档生成,系统集成,集成组长,姜工,2026-06-28,2026-06-30,,,待开始
T062,消息队列(RabbitMQ)集成,系统集成,集成组长,戚工,2026-06-29,2026-06-30,,,待开始
T063,Redis缓存集成与优化,系统集成,集成组长,姜工,2026-06-29,2026-07-01,,,待开始
T064,Docker Compose部署脚本,系统集成,集成组长,戚工,2026-06-30,2026-07-02,,,待开始
T065,系统集成联调与端到端测试,系统集成,集成组长,全组,2026-07-01,2026-07-03,,,待开始
